X,Y,speed,dir,AM_dir,QGIS_dir
717350.514853401,5190320.78735339,15.1,359,89,179
717751.574853401,5190320.78735339,13.6,359,89,179
718152.634853401,5190320.78735339,12.2,357,87,177
718553.694853401,5190320.78735339,11.0,359,89,179
718954.754853401,5190320.78735339,10.8,2,92,182
719355.814853401,5190320.78735339,11.2,4,94,184
719756.874853401,5190320.78735339,11.4,2,92,182
720157.934853401,5190320.78735339,11.5,359,89,179
720558.994853401,5190320.78735339,11.7,357,87,177
720960.054853401,5190320.78735339,11.9,357,87,177
721361.114853401,5190320.78735339,12.0,357,87,177
721762.174853401,5190320.78735339,12.0,357,87,177
722163.234853401,5190320.78735339,12.0,357,87,177
722564.294853401,5190320.78735339,11.8,357,87,177
722965.354853401,5190320.78735339,11.7,358,88,178
723366.414853401,5190320.78735339,11.7,360,90,180
723767.474853401,5190320.78735339,11.7,0,90,180
724168.534853401,5190320.78735339,11.6,1,91,181
724569.594853401,5190320.78735339,11.5,1,91,181
724970.654853401,5190320.78735339,11.4,2,92,182
725371.714853401,5190320.78735339,11.2,3,93,183
725772.774853401,5190320.78735339,11.0,4,94,184
726173.834853401,5190320.78735339,10.9,4,94,184
726574.894853401,5190320.78735339,10.9,5,95,185
726975.954853401,5190320.78735339,11.1,5,95,185
727377.014853401,5190320.78735339,11.3,3,93,183
727778.074853401,5190320.78735339,11.4,2,92,182
728179.134853401,5190320.78735339,11.2,2,92,182
728580.194853401,5190320.78735339,10.8,4,94,184
728981.254853401,5190320.78735339,10.4,5,95,185
729382.314853401,5190320.78735339,10.0,3,93,183
729783.374853401,5190320.78735339,9.2,357,87,177
730184.434853401,5190320.78735339,8.6,349,79,169
730585.494853401,5190320.78735339,8.0,349,79,169
730986.554853401,5190320.78735339,7.7,351,81,171
731387.614853401,5190320.78735339,7.8,351,81,171
731788.674853401,5190320.78735339,8.0,350,80,170
732189.734853401,5190320.78735339,7.9,351,81,171
732590.794853401,5190320.78735339,8.2,357,87,177
732991.854853401,5190320.78735339,8.8,2,92,182
733392.914853401,5190320.78735339,8.8,3,93,183
733793.974853401,5190320.78735339,8.7,4,94,184
734195.034853401,5190320.78735339,9.2,6,96,186
734596.094853401,5190320.78735339,9.8,5,95,185
734997.154853401,5190320.78735339,9.8,5,95,185
735398.214853401,5190320.78735339,10.6,359,89,179
735799.274853401,5190320.78735339,12.0,355,85,175
736200.334853401,5190320.78735339,13.6,354,84,174
736601.394853401,5190320.78735339,13.8,358,88,178
714944.154853401,5190721.84735339,12.1,23,113,203
715345.214853401,5190721.84735339,11.7,14,104,194
715746.274853401,5190721.84735339,12.0,5,95,185
716147.334853401,5190721.84735339,12.3,3,93,183
716548.394853401,5190721.84735339,12.4,3,93,183
716949.454853401,5190721.84735339,13.5,358,88,178
717350.514853401,5190721.84735339,14.3,354,84,174
717751.574853401,5190721.84735339,13.9,354,84,174
718152.634853401,5190721.84735339,13.5,356,86,176
718553.694853401,5190721.84735339,13.6,358,88,178
718954.754853401,5190721.84735339,13.2,359,89,179
719355.814853401,5190721.84735339,11.9,2,92,182
719756.874853401,5190721.84735339,11.0,3,93,183
720157.934853401,5190721.84735339,11.1,0,90,180
720558.994853401,5190721.84735339,11.3,357,87,177
720960.054853401,5190721.84735339,11.1,356,86,176
721361.114853401,5190721.84735339,10.9,356,86,176
721762.174853401,5190721.84735339,10.9,356,86,176
722163.234853401,5190721.84735339,10.9,356,86,176
722564.294853401,5190721.84735339,11.1,358,88,178
722965.354853401,5190721.84735339,11.4,359,89,179
723366.414853401,5190721.84735339,11.6,360,90,180
723767.474853401,5190721.84735339,11.6,0,90,180
724168.534853401,5190721.84735339,11.6,0,90,180
724569.594853401,5190721.84735339,11.6,1,91,181
724970.654853401,5190721.84735339,11.5,2,92,182
725371.714853401,5190721.84735339,11.4,2,92,182
725772.774853401,5190721.84735339,11.2,3,93,183
726173.834853401,5190721.84735339,11.0,3,93,183
726574.894853401,5190721.84735339,10.7,4,94,184
726975.954853401,5190721.84735339,10.3,5,95,185
727377.014853401,5190721.84735339,10.4,4,94,184
727778.074853401,5190721.84735339,10.7,3,93,183
728179.134853401,5190721.84735339,11.1,2,92,182
728580.194853401,5190721.84735339,11.0,2,92,182
728981.254853401,5190721.84735339,10.5,2,92,182
729382.314853401,5190721.84735339,9.7,359,89,179
729783.374853401,5190721.84735339,8.9,351,81,171
730184.434853401,5190721.84735339,8.5,346,76,166
730585.494853401,5190721.84735339,8.5,349,79,169
730986.554853401,5190721.84735339,8.6,352,82,172
731387.614853401,5190721.84735339,8.7,354,84,174
731788.674853401,5190721.84735339,9.5,355,85,175
732189.734853401,5190721.84735339,10.5,356,86,176
732590.794853401,5190721.84735339,10.8,359,89,179
732991.854853401,5190721.84735339,10.2,360,90,180
733392.914853401,5190721.84735339,9.4,360,90,180
733793.974853401,5190721.84735339,9.0,4,94,184
734195.034853401,5190721.84735339,9.1,9,99,189
734596.094853401,5190721.84735339,9.3,9,99,189
734997.154853401,5190721.84735339,9.3,9,99,189
735398.214853401,5190721.84735339,10.3,7,97,187
735799.274853401,5190721.84735339,11.9,3,93,183
736200.334853401,5190721.84735339,12.9,0,90,180
736601.394853401,5190721.84735339,12.7,355,85,175
714944.154853401,5191122.90735339,12.6,21,111,201
715345.214853401,5191122.90735339,12.5,16,106,196
715746.274853401,5191122.90735339,12.5,8,98,188
716147.334853401,5191122.90735339,12.1,2,92,182
716548.394853401,5191122.90735339,10.8,3,93,183
716949.454853401,5191122.90735339,10.4,4,94,184
717350.514853401,5191122.90735339,12.0,357,87,177
717751.574853401,5191122.90735339,13.6,353,83,173
718152.634853401,5191122.90735339,13.6,357,87,177
718553.694853401,5191122.90735339,13.6,358,88,178
718954.754853401,5191122.90735339,14.0,356,86,176
719355.814853401,5191122.90735339,13.8,356,86,176
719756.874853401,5191122.90735339,12.6,359,89,179
720157.934853401,5191122.90735339,11.6,359,89,179
